"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
427,"2024-01-29",3,"Shark Bait","Aaron","Core Gut",21,27,"[{""species"" : null, ""count"" : null}]"
421,"2024-01-30",3,"Private Boat","Otto","Tent Boulders",6,27,"[{""species"" : ""Green Turtle"", ""count"" : 2}]"
417,"2024-01-30",3,"Shark Bait","Richard","Core Gut",27,27,"[{""species"" : ""Lionfish Dead"", ""count"" : 3}]"
418,"2024-01-30",5,"Shark Bait","Otto","Core Gut",24,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}]"
419,"2024-01-30",1,"Shark Bait","Vicky","Shark Shoals",32,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}]"
420,"2024-01-30",2,"Shark Bait","Vicky","Diamond Rock",26,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Flamingo Tongue"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}]"
422,"2024-01-30",1,"Fin & Tonic","Josef","Tent Shallow",24,26,"[{""species"" : ""Green Turtle"", ""count"" : 3}]"
423,"2024-01-30",2,"Fin & Tonic","Josef","Hot Springs",19,26,"[{""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
424,"2024-01-30",3,"Fin & Tonic","Josef","Green Island",22,26,"[{""species"" : null, ""count"" : null}]"
426,"2024-01-30",1,"Shark Bait","Lenny","Shark Shoals",33,27,"[{""species"" : ""Tiger Grouper"", ""count"" : 4}, {""species"" : ""Nassau Grouper"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 4}]"
428,"2024-01-30",3,"Shark Bait","Lenny","Tent Reef",24,27,"[{""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 3}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 3}, {""species"" : ""Lionfish Dead"", ""count"" : 2}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
429,"2024-01-30",1,"Fin & Tonic","Chad","Tent Shallow",21,26,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 3}, {""species"" : ""Yellowfin Grouper"", ""count"" : 2}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 1}, {""species"" : ""Flamingo Tongue"", ""count"" : 1}]"
430,"2024-01-30",2,"Fin & Tonic","Chad","Hot Springs",18,26,"[{""species"" : ""Flamingo Tongue"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 8}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 2}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Leech Head Shield Slug"", ""count"" : 1}]"
431,"2024-01-31",1,"Fin & Tonic","Vicky","Twilight Zone",31,27,"[{""species"" : ""Tiger Grouper"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 2}]"
432,"2024-01-31",1,"Shark Bait","Richard","Ghost Wreck",34,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 10}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 20}]"
